DateTime,Nitrate_mgL,DOC_mgL
2017-06-03 23:53,0.10184772,-1111
2017-06-04 00:08,0.114187701,-1111
2017-06-04 00:23,0.110074374,-1111
2017-06-04 00:38,0.103218829,-1111
2017-06-04 00:53,0.084023303,-1111
2017-06-04 01:08,0.104589938,-1111
2017-06-04 01:23,0.099105502,-1111
2017-06-04 01:38,0.093621066,-1111
2017-06-04 01:53,0.10184772,-1111
2017-06-04 02:08,0.111445483,-1111
2017-06-04 02:23,0.081281085,-1111
2017-06-04 02:38,0.112816592,-1111
2017-06-04 02:53,0.097734393,-1111
2017-06-04 03:08,0.100476611,-1111
2017-06-04 03:23,0.100476611,-1111
2017-06-04 03:38,0.100476611,-1111
2017-06-04 03:53,0.094992175,-1111
2017-06-04 04:08,0.111445483,-1111
2017-06-04 04:23,0.112816592,-1111
2017-06-04 04:38,0.118301028,-1111
2017-06-04 04:53,0.097734393,-1111
2017-06-04 05:08,0.089507739,-1111
2017-06-04 05:23,0.114187701,-1111
2017-06-04 05:38,0.08813663,-1111
2017-06-04 05:53,0.10184772,-1111
2017-06-04 06:08,0.094992175,-1111
2017-06-04 06:23,0.110074374,-1111
2017-06-04 06:38,0.093621066,-1111
2017-06-04 06:53,0.092249957,-1111
2017-06-04 07:08,0.099105502,-1111
2017-06-04 07:23,0.10184772,-1111
2017-06-04 07:38,0.105961047,-1111
2017-06-04 07:53,0.10184772,-1111
2017-06-04 08:08,0.10184772,-1111
2017-06-04 08:23,0.114187701,-1111
2017-06-04 08:38,0.090878848,-1111
2017-06-04 08:53,0.100476611,-1111
2017-06-04 09:08,0.097734393,-1111
2017-06-04 09:23,0.10184772,-1111
2017-06-04 09:38,0.096363284,-1111
2017-06-04 09:53,0.099105502,-1111
2017-06-04 10:08,0.077167758,-1111
2017-06-04 10:23,0.07442554,-1111
2017-06-04 10:38,0.078538867,-1111
2017-06-04 10:53,0.089507739,-1111
2017-06-04 11:08,0.079909976,-1111
2017-06-04 11:23,0.084023303,-1111
2017-06-04 11:38,0.073054431,-1111
2017-06-04 11:53,0.07442554,-1111
2017-06-04 12:08,0.071683322,-1111
2017-06-04 12:23,0.082652194,-1111
2017-06-04 12:38,0.082652194,-1111
2017-06-04 12:53,0.077167758,-1111
2017-06-04 13:08,0.078538867,-1111
2017-06-04 13:23,0.084023303,-1111
2017-06-04 13:38,0.071683322,-1111
2017-06-04 13:53,0.070312213,-1111
2017-06-04 14:08,0.07442554,-1111
2017-06-04 14:23,0.079909976,-1111
2017-06-04 14:38,0.084023303,-1111
2017-06-04 14:53,0.086765521,-1111
2017-06-04 15:08,0.081281085,-1111
2017-06-04 15:23,0.077167758,-1111
2017-06-04 15:38,0.070312213,-1111
2017-06-04 15:53,0.078538867,-1111
2017-06-04 16:08,0.077167758,-1111
2017-06-04 16:23,0.086765521,-1111
2017-06-04 16:38,0.079909976,-1111
2017-06-04 16:53,0.077167758,-1111
2017-06-04 17:08,0.079909976,-1111
2017-06-04 17:23,0.089507739,-1111
2017-06-04 17:38,0.082652194,-1111
2017-06-04 17:53,0.079909976,-1111
2017-06-04 18:08,0.081281085,-1111
2017-06-04 18:23,0.078538867,-1111
2017-06-04 18:38,0.075796649,-1111
2017-06-04 18:53,0.081281085,-1111
2017-06-04 19:08,0.081281085,-1111
2017-06-04 19:23,0.070312213,-1111
2017-06-04 19:38,0.075796649,-1111
2017-06-04 19:53,0.079909976,-1111
2017-06-04 20:08,0.073054431,-1111
2017-06-04 20:23,0.077167758,-1111
2017-06-04 20:38,0.092249957,-1111
2017-06-04 20:53,0.081281085,-1111
2017-06-04 21:08,0.077167758,-1111
2017-06-04 21:23,0.081281085,-1111
2017-06-04 21:38,0.086765521,-1111
2017-06-04 21:53,0.078538867,-1111
2017-06-04 22:08,0.085394412,-1111
2017-06-04 22:23,0.077167758,-1111
2017-06-04 22:38,0.081281085,-1111
2017-06-04 22:53,0.082652194,-1111
2017-06-04 23:08,0.071683322,-1111
2017-06-04 23:23,0.084023303,-1111
2017-06-04 23:38,0.07442554,-1111
2017-06-04 23:53,0.071683322,-1111
2017-06-05 00:08,0.075796649,-1111
2017-06-05 00:23,0.075796649,-1111
2017-06-05 00:38,0.075796649,-1111
2017-06-05 00:53,0.085394412,-1111
2017-06-05 01:08,0.073054431,-1111
2017-06-05 01:23,0.081281085,-1111
2017-06-05 01:38,0.085394412,-1111
2017-06-05 01:53,0.081281085,-1111
2017-06-05 02:08,0.089507739,-1111
2017-06-05 02:23,0.082652194,-1111
2017-06-05 02:38,0.086765521,-1111
2017-06-05 02:53,0.082652194,-1111
2017-06-05 03:08,0.07442554,-1111
2017-06-05 03:23,0.089507739,-1111
2017-06-05 03:38,0.081281085,-1111
2017-06-05 03:53,0.097734393,-1111
2017-06-05 04:08,0.085394412,-1111
2017-06-05 04:23,0.082652194,-1111
2017-06-05 04:38,0.084023303,-1111
2017-06-05 04:53,0.090878848,-1111
2017-06-05 05:08,0.07442554,-1111
2017-06-05 05:23,0.082652194,-1111
2017-06-05 05:38,0.089507739,-1111
2017-06-05 05:53,0.079909976,-1111
2017-06-05 06:08,0.08813663,-1111
2017-06-05 06:23,0.085394412,-1111
2017-06-05 06:38,0.093621066,-1111
2017-06-05 06:53,0.082652194,-1111
2017-06-05 07:08,0.078538867,-1111
2017-06-05 07:23,0.078538867,-1111
2017-06-05 07:38,0.077167758,-1111
2017-06-05 07:53,0.077167758,-1111
2017-06-05 08:08,0.081281085,-1111
2017-06-05 08:23,0.084023303,-1111
2017-06-05 08:38,0.07442554,-1111
2017-06-05 08:53,0.084023303,-1111
2017-06-05 09:08,0.082652194,-1111
2017-06-05 09:23,0.085394412,-1111
2017-06-05 09:38,0.086765521,-1111
2017-06-05 09:53,0.082652194,-1111
2017-06-05 10:08,0.077167758,-1111
2017-06-05 10:23,0.084023303,-1111
2017-06-05 10:38,0.085394412,-1111
2017-06-05 10:53,0.092249957,-1111
2017-06-05 11:08,0.081281085,-1111
2017-06-05 11:23,0.097734393,-1111
2017-06-05 11:38,0.090878848,-1111
2017-06-05 11:53,0.090878848,-1111
2017-06-05 12:08,0.085394412,-1111
2017-06-05 12:23,0.085394412,-1111
2017-06-05 12:38,0.082652194,-1111
2017-06-05 12:53,0.079909976,-1111
2017-06-05 13:08,0.073054431,-1111
2017-06-05 13:23,0.077167758,-1111
2017-06-05 13:38,0.079909976,-1111
2017-06-05 13:53,0.067569995,-1111
2017-06-05 14:08,0.077167758,-1111
2017-06-05 14:23,0.068941104,-1111
2017-06-05 14:38,0.086765521,-1111
2017-06-05 14:53,0.070312213,-1111
2017-06-05 15:08,0.078538867,-1111
2017-06-05 15:23,0.078538867,-1111
2017-06-05 15:38,0.066198886,-1111
2017-06-05 15:53,0.07442554,-1111
2017-06-05 16:08,0.082652194,-1111
2017-06-05 16:23,0.077167758,-1111
2017-06-05 16:38,0.082652194,-1111
2017-06-05 16:53,0.081281085,-1111
2017-06-05 17:08,0.079909976,-1111
2017-06-05 17:23,0.086765521,-1111
2017-06-05 17:38,0.086765521,-1111
2017-06-05 17:53,0.085394412,-1111
2017-06-05 18:08,0.07442554,-1111
2017-06-05 18:23,0.075796649,-1111
2017-06-05 18:38,0.081281085,-1111
2017-06-05 18:53,0.081281085,-1111
2017-06-05 19:08,0.089507739,-1111
2017-06-05 19:23,0.078538867,-1111
2017-06-05 19:38,0.073054431,-1111
2017-06-05 19:53,0.084023303,-1111
2017-06-05 20:08,0.089507739,-1111
